Zeit;Kanal A
(ms);(mV)

-20,87269146;7,06139300
-20,86769146;7,80450200
-20,86269146;7,06139300
-20,85769146;8,73400600
-20,85269146;6,50406000
-20,84769146;7,06139300
-20,84269146;4,83144700
-20,83769146;6,50406000
-20,83269146;5,94611200
-20,82769146;4,64566900
-20,82269147;4,27349900
-20,81769147;3,15883400
-20,81269147;3,34461100
-20,80769147;2,97305600
-20,80269147;1,67199800
-20,79769147;1,67199800
-20,79269147;1,11466500
-20,78769147;2,22994600
-20,78269147;2,41572300
-20,77769147;1,48622000
-20,77269147;4,27349900
-20,76769147;2,78727800
-20,76269147;4,64566900
-20,75769147;2,04355300
-20,75269147;3,90194400
-20,74769147;2,60150100
-20,74269147;3,90194400
-20,73769147;3,34461100
-20,73269147;4,27349900
-20,72769147;1,67199800
-20,72269147;3,90194400
-20,71769147;2,97305600
-20,71269147;2,97305600
-20,70769147;3,90194400
-20,70269147;3,71616600
-20,69769147;4,64566900
-20,69269147;1,85777500
-20,68769147;3,53038900
-20,68269147;0,74311020
-20,67769147;3,34461100
-20,67269147;1,67199800
-20,66769147;2,04355300
-20,66269147;0,55733270
-20,65769147;2,41572300
-20,65269147;0,55733270
-20,64769147;-0,37155510
-20,64269147;-0,55733270
-20,63769147;0,00000000
-20,63269147;-1,48622000
-20,62769147;-1,67199800
-20,62269147;-2,60150100
-20,61769147;-1,30044300
-20,61269147;-1,30044300
-20,60769147;-1,85777500
-20,60269147;-3,15883400
-20,59769147;-3,15883400
-20,59269147;-2,04355300
-20,58769147;-3,90194400
-20,58269147;-4,83144700
-20,57769147;-4,27349900
-20,57269147;-6,13188900
-20,56769147;-5,76033400
-20,56269147;-7,43294800
-20,55769147;-7,80450200
-20,55269147;-8,91978400
-20,54769147;-11,14973000
-20,54269147;-9,66289300
-20,53769147;-10,77756000
-20,53269147;-10,22023000
-20,52769147;-11,52128000
-20,52269147;-8,17605800
-20,51769147;-7,99028000
-20,51269147;-3,53038900
-20,50769147;-4,08772100
-20,50269147;-2,60150100
-20,49769147;-2,04355300
-20,49269147;0,92888770
-20,48769147;0,00000000
-20,48269147;2,41572300
-20,47769147;0,18577760
-20,47269147;1,85777500
-20,46769147;1,11466500
-20,46269147;0,74311020
-20,45769147;0,18577760
-20,45269147;-1,11466500
-20,44769147;-1,67199800
-20,44269147;-3,53038900
-20,43769147;-4,08772100
-20,43269147;-3,34461100
-20,42769148;-5,20300200
-20,42269148;-2,97305600
-20,41769148;-4,27349900
-20,41269148;-3,90194400
-20,40769148;-2,97305600
-20,40269148;-2,22994600
-20,39769148;-2,04355300
-20,39269148;-1,11466500
-20,38769148;0,00000000
-20,38269148;0,92888770
-20,37769148;1,48622000
-20,37269148;2,78727800
-20,36769148;0,55733270
-20,36269148;0,74311020
-20,35769148;0,18577760
-20,35269148;2,04355300
-20,34769148;0,92888770
-20,34269148;-0,37155510
-20,33769148;0,92888770
-20,33269148;0,74311020
-20,32769148;-0,74311020
-20,32269148;0,00000000
-20,31769148;-1,85777500
-20,31269148;-0,74311020
-20,30769148;-2,22994600
-20,30269148;0,74311020
-20,29769148;-1,11466500
-20,29269148;0,92888770
-20,28769148;1,11466500
-20,28269148;3,34461100
-20,27769148;2,22994600
-20,27269148;2,97305600
-20,26769148;2,04355300
-20,26269148;4,08772100
-20,25769148;3,71616600
-20,25269148;3,34461100
-20,24769148;3,71616600
-20,24269148;4,08772100
-20,23769148;3,15883400
-20,23269148;3,71616600
-20,22769148;2,60150100
-20,22269148;2,97305600
-20,21769148;2,78727800
-20,21269148;1,48622000
-20,20769148;1,11466500
-20,20269148;1,48622000
-20,19769148;2,22994600
-20,19269148;1,85777500
-20,18769148;0,92888770
-20,18269148;2,04355300
-20,17769148;2,22994600
-20,17269148;0,55733270
-20,16769148;0,92888770
-20,16269148;1,67199800
-20,15769148;0,74311020
-20,15269148;2,04355300
-20,14769148;0,18577760
-20,14269148;0,92888770
-20,13769148;0,37155510
-20,13269148;-0,92888770
-20,12769148;-1,67199800
-20,12269148;-1,85777500
-20,11769148;-2,60150100
-20,11269148;-3,34461100
-20,10769148;-3,71616600
-20,10269148;-5,20300200
-20,09769148;-4,64566900
-20,09269148;-5,76033400
-20,08769148;-4,83144700
-20,08269148;-6,13188900
-20,07769148;-6,31766700
-20,07269148;-6,50406000
-20,06769148;-6,31766700
-20,06269148;-7,06139300
-20,05769148;-5,57455700
-20,05269148;-7,06139300
-20,04769148;-7,24717000
-20,04269148;-7,99028000
-20,03769148;-6,13188900
-20,03269149;-8,17605800
-20,02769149;-7,80450200
-20,02269149;-8,73400600
-20,01769149;-7,61872500
-20,01269149;-8,91978400
-20,00769149;-8,17605800
-20,00269149;-8,17605800
-19,99769149;-8,91978400
-19,99269149;-7,61872500
-19,98769149;-7,24717000
-19,98269149;-5,57455700
-19,97769149;-4,83144700
-19,97269149;-5,76033400
-19,96769149;-4,45989200
-19,96269149;-1,85777500
-19,95769149;-3,15883400
-19,95269149;0,00000000
-19,94769149;-0,18577760
-19,94269149;3,15883400
-19,93769149;-0,37155510
-19,93269149;0,18577760
-19,92769149;-1,11466500
-19,92269149;0,18577760
-19,91769149;-3,34461100
-19,91269149;-2,60150100
-19,90769149;-3,53038900
-19,90269149;-4,27349900
-19,89769149;-4,45989200
-19,89269149;-5,20300200
-19,88769149;-5,94611200
-19,88269149;-5,38877900
-19,87769149;-5,01722400
-19,87269149;-5,76033400
-19,86769149;-4,83144700
-19,86269149;-2,60150100
-19,85769149;-5,01722400
-19,85269149;-3,90194400
-19,84769149;-1,67199800
-19,84269149;-2,60150100
-19,83769149;-0,74311020
-19,83269149;-0,37155510
-19,82769149;0,37155510
